InputStoryid,premise,hypothesis,label,ending_id,premise_len,hypothesis_len
52dbbfda-5b42-4ace-8d59-55cee3eb30c0,"Ignacio wants to play a sport while he is in college. Since he was a good swimmer, he decides to try out for swim the team. Ignacio makes it onto the team easily. At the first swim meet, Ignacio wins second place!",Ignacio gave up swimming.,0,1,42,4
52dbbfda-5b42-4ace-8d59-55cee3eb30c0,"Ignacio wants to play a sport while he is in college. Since he was a good swimmer, he decides to try out for swim the team. Ignacio makes it onto the team easily. At the first swim meet, Ignacio wins second place!",Ignacio won a silver medal.,1,2,42,5
1edf348d-6fce-4ea3-937c-28ade02f28b8,Danny bought a boat. His nearby marina was having a race. He decided to enter. Danny and his best friend manned the boat.,Danny decided to go to sleep.,0,1,23,6
1edf348d-6fce-4ea3-937c-28ade02f28b8,Danny bought a boat. His nearby marina was having a race. He decided to enter. Danny and his best friend manned the boat.,They prepared for the start of the race.,1,2,23,8
0fe46de6-6ee3-4932-a578-268917372566,"At school, Mary received an assignment to write an essay about pandas. Luckily, Mary loved pandas, as was excited to get started. As soon as she got home, Mary booted up her computer and began. She wrote about all she knew and researched a little too!",Mary disliked Pandas.,0,1,46,3
0fe46de6-6ee3-4932-a578-268917372566,"At school, Mary received an assignment to write an essay about pandas. Luckily, Mary loved pandas, as was excited to get started. As soon as she got home, Mary booted up her computer and began. She wrote about all she knew and researched a little too!",Mary couldn't wait to present her report.,1,2,46,7
625d1e13-8bd3-40b3-ac45-0b16a549fc69,Ellen dreamed of winning a prize for her roses. She planned to enter her special purple rose at the fair. She fertilized the rose bush and covered it each night. The roses grew more beautiful every day.,Ellen ended up winning the prize.,1,1,37,6
625d1e13-8bd3-40b3-ac45-0b16a549fc69,Ellen dreamed of winning a prize for her roses. She planned to enter her special purple rose at the fair. She fertilized the rose bush and covered it each night. The roses grew more beautiful every day.,Ellen had to pay a replacement fee for her library card.,0,2,37,11
aa615e4f-83c1-4b65-96a4-6a989d253a52,"Jesse had just started fifth grade. He tried to make friends with the other boys, but he couldn't. He decided to make friends with the girls instead. They girls welcomed him into their social groups happily.","Jesse went to the park with his new friend, Roger.",0,1,36,10
aa615e4f-83c1-4b65-96a4-6a989d253a52,"Jesse had just started fifth grade. He tried to make friends with the other boys, but he couldn't. He decided to make friends with the girls instead. They girls welcomed him into their social groups happily.",Jesse was picked on by the other boys in school.,1,2,36,10
fa0d318c-d286-4c8e-adda-c2590f100f02,"Tiffany was getting overwhelmed at work. While she liked her job, she longed for a break. One day, she tripped outside on uneven pavement. She broke her ankle and had to be off work for a couple months.",Tiffany went in to work the next day.,0,1,38,8
fa0d318c-d286-4c8e-adda-c2590f100f02,"Tiffany was getting overwhelmed at work. While she liked her job, she longed for a break. One day, she tripped outside on uneven pavement. She broke her ankle and had to be off work for a couple months.",She was in pain but happy to not have to go to work.,1,2,38,13
501c6884-8885-4df3-ae8c-f3f9328fde54,Gina misplaced her phone at her grandparents. It wasn't in the living room. She had been in the car before napping in the living room. She grabbed her dad's keys and ran outside.,But she didn't want her phone anymore.,0,1,33,7
501c6884-8885-4df3-ae8c-f3f9328fde54,Gina misplaced her phone at her grandparents. It wasn't in the living room. She had been in the car before napping in the living room. She grabbed her dad's keys and ran outside.,She found her phone in the car.,1,2,33,7
8d9f72c4-7f31-4e86-8511-e921fd8f78bb,"Alice was getting married in a few weeks. One night, her mother called and she forgot to call her back. Her mother left an angry message on her phone. She threatened not to come to the wedding.",Alice called her mother and apologized profusely.,1,1,37,7
8d9f72c4-7f31-4e86-8511-e921fd8f78bb,"Alice was getting married in a few weeks. One night, her mother called and she forgot to call her back. Her mother left an angry message on her phone. She threatened not to come to the wedding.",Alice messaged a cute guy she saw on Tinder.,0,2,37,9
ba87797c-dc31-402b-8740-d30c093d4df7,Ted loves to go to the movies. He sees almost everyone and votes at the Oscars. He has a big party for the Oscars and they all place bets. Ted almost always wins with the movies he chooses.,Ted continues to watch several movies a week.,1,1,38,8
ba87797c-dc31-402b-8740-d30c093d4df7,Ted loves to go to the movies. He sees almost everyone and votes at the Oscars. He has a big party for the Oscars and they all place bets. Ted almost always wins with the movies he chooses.,He decides to stop watching movies.,0,2,38,6
384621a9-d9b6-436d-8914-61a93d916015,"Nya had been asked on a paintball trip with friends. She was nervous about going. But she went anyways, hoping to have fun. She shot paintballs at her friends and laughed the whole time.",She loved it so much she planned a trip for the next week.,1,1,34,13
384621a9-d9b6-436d-8914-61a93d916015,"Nya had been asked on a paintball trip with friends. She was nervous about going. But she went anyways, hoping to have fun. She shot paintballs at her friends and laughed the whole time.",She was shot and vowed to never go there again.,0,2,34,10
f531b039-67a6-4797-989d-24f716ed4073,"All of Javier's friends at school have smartphones. However, he still uses an old style flip phone. One day he decides to buy a smartphone too. At first he loves having the access to internet everywhere he goes.",Javier decides to get a smartphone.,0,1,38,6
f531b039-67a6-4797-989d-24f716ed4073,"All of Javier's friends at school have smartphones. However, he still uses an old style flip phone. One day he decides to buy a smartphone too. At first he loves having the access to internet everywhere he goes.",But then he misses his old phone.,1,2,38,7
60facd71-c194-427a-9127-471d5844785e,Rachel decided to donate blood at the local blood drive. She was a little nervous because this was her first time. The next day Rachel received a call from the doctor that she saw. The doctor told her that he had bad news.,Rachel broke down in tears.,1,1,43,5
60facd71-c194-427a-9127-471d5844785e,Rachel decided to donate blood at the local blood drive. She was a little nervous because this was her first time. The next day Rachel received a call from the doctor that she saw. The doctor told her that he had bad news.,Rachel started moonwalking with excitement.,0,2,43,5
d4aff04b-ba93-4cff-8b35-7eb10dd9e23f,Ron was watching a high-speed chase on TV. The cop was chasing the bad guy through his neighborhood. It was terrifying! But then the cop caught the bad guy.,Ron started collecting bottle caps.,0,1,29,5
d4aff04b-ba93-4cff-8b35-7eb10dd9e23f,Ron was watching a high-speed chase on TV. The cop was chasing the bad guy through his neighborhood. It was terrifying! But then the cop caught the bad guy.,Ron applauded the officer's performance.,1,2,29,5
8db8ec1c-1d94-4f9d-b71d-3b533e30a1c5,Sam loved his old belt. He matched it with everything. Unfortunately he gained too much weight. It became too small.,Sam went on a diet.,1,1,20,5
8db8ec1c-1d94-4f9d-b71d-3b533e30a1c5,Sam loved his old belt. He matched it with everything. Unfortunately he gained too much weight. It became too small.,Sam was happy.,0,2,20,3
696b1a71-b684-45ec-8435-7b48274ee411,Larry bought a new motorcycle. He was excited to look cool. The first time he tried riding it he dropped it. He hurt his leg and had to go to the hospital.,Larry loved going to the hospital.,0,1,32,6
696b1a71-b684-45ec-8435-7b48274ee411,Larry bought a new motorcycle. He was excited to look cool. The first time he tried riding it he dropped it. He hurt his leg and had to go to the hospital.,Larry became careful.,1,2,32,3
1d14ed7d-5a05-476b-bfab-3e3568a0dd6b,I went on a blind date a few days ago. She was cute and friendly. We were set up through a co worker. We seem to have some things in common.,Soon we were boyfriend and girlfriend and thinking of marriage.,1,1,31,10
1d14ed7d-5a05-476b-bfab-3e3568a0dd6b,I went on a blind date a few days ago. She was cute and friendly. We were set up through a co worker. We seem to have some things in common.,We broke up right away.,0,2,31,5
9f32f9ef-0b7b-461b-953f-3d7da39bac87,Sammy's coffee grinder was broken. He needed something to crush up his coffee beans. He put his coffee beans in a plastic bag. He tried crushing them with a hammer.,Sammy was not that into coffee.,0,1,30,6
9f32f9ef-0b7b-461b-953f-3d7da39bac87,Sammy's coffee grinder was broken. He needed something to crush up his coffee beans. He put his coffee beans in a plastic bag. He tried crushing them with a hammer.,It worked for Sammy.,1,2,30,4
3972aeda-e5f8-4776-abbb-8566bf38930a,Last week Jared was driving to work. He had been partying hard the night before. He didn't get any sleep. Before he knew it his car was facing oncoming traffic.,Jared swerved quickly and managed to avoid a collision.,1,1,30,9
3972aeda-e5f8-4776-abbb-8566bf38930a,Last week Jared was driving to work. He had been partying hard the night before. He didn't get any sleep. Before he knew it his car was facing oncoming traffic.,Jared decided to accelerate.,0,2,30,4
411b9523-5254-41ff-b740-e039d0423201,"Joe grew a big batch of peas in his garden. He brought the peas inside and shelled them all. Then he cooked them up in a big pot. He added ham, bacon, and carrots to make thick pea soup.",Joe thought about working in the garden as he ate the yummy soup.,1,1,39,13
411b9523-5254-41ff-b740-e039d0423201,"Joe grew a big batch of peas in his garden. He brought the peas inside and shelled them all. Then he cooked them up in a big pot. He added ham, bacon, and carrots to make thick pea soup.",Joe dumped the pot outside because he hated soup.,0,2,39,9
36b638c3-f2d1-44dc-bab1-5bf2a9d7fdff,"Aliza had a long lost ex-boyfriend she was bound to find. The problem was, he moved to a new state. She decided to use Facebook to find him. She found him, but he was married with kids.","Aliza was sad, but she never contacted him again.",1,1,37,9
36b638c3-f2d1-44dc-bab1-5bf2a9d7fdff,"Aliza had a long lost ex-boyfriend she was bound to find. The problem was, he moved to a new state. She decided to use Facebook to find him. She found him, but he was married with kids.",He fell in love with Aliza and they were married.,0,2,37,10
80b6447f-4c37-4194-9862-3785e5075463,"Lina went to see how candy canes were made. She watched as the workers added dye to the hot candy. Then, they stretched it out to make it shiny. Finally, they shaped it into a cane and let it cool.",Lina now knew that candy canes were boring.,0,1,40,8
80b6447f-4c37-4194-9862-3785e5075463,"Lina went to see how candy canes were made. She watched as the workers added dye to the hot candy. Then, they stretched it out to make it shiny. Finally, they shaped it into a cane and let it cool.",Lina felt a new appreciation for candy canes.,1,2,40,8
dd3506fe-31ce-4bbb-9000-02c222da3466,"When I first moved into my house, I didn't know my neighbors. While mowing one day, I found a kickball in my yard. I felt this was the perfect opportunity to meet my neighbors. I grabbed the ball and went next door to return it.",They were very friendly.,1,1,45,4
dd3506fe-31ce-4bbb-9000-02c222da3466,"When I first moved into my house, I didn't know my neighbors. While mowing one day, I found a kickball in my yard. I felt this was the perfect opportunity to meet my neighbors. I grabbed the ball and went next door to return it.",I threw the kickball through their closed window.,0,2,45,8
ad42188e-383b-4c7d-9cd9-906725b7ce12,"Bev had been studying very hard. She couldn't wait for the weekend. When it came, she slept in very late. Then she got up and went out to party.","By Sunday night, Bev was exhausted again.",1,1,29,7
ad42188e-383b-4c7d-9cd9-906725b7ce12,"Bev had been studying very hard. She couldn't wait for the weekend. When it came, she slept in very late. Then she got up and went out to party.","Bev got the mail and fed the fish, just like she did every day.",0,2,29,14
f8ff777f-de4d-4e3a-91bd-b197ed13f78e,We went to Frank Pepe's pizza shop three weeks ago. The chain is quite famous in Connecticut. The chain recently opened in Boston. We went early to beat the crowd.,We walked 5 growling dogs at the park across town.,0,1,30,10
f8ff777f-de4d-4e3a-91bd-b197ed13f78e,We went to Frank Pepe's pizza shop three weeks ago. The chain is quite famous in Connecticut. The chain recently opened in Boston. We went early to beat the crowd.,We had a great pizza at Frank Pepe's pizza shop.,1,2,30,10
dfdf2b81-86fa-48f0-8a47-488ccf3e086b,"Bernice always wanted to travel to Africa. Bernice decided she would take a trip for her birthday next year. Bernice started to look at the price of airline tickets for the trip. In addition, Bernice looked up the price of hotels as well.",Bernice went to Europe for her birthday.,0,1,43,7
dfdf2b81-86fa-48f0-8a47-488ccf3e086b,"Bernice always wanted to travel to Africa. Bernice decided she would take a trip for her birthday next year. Bernice started to look at the price of airline tickets for the trip. In addition, Bernice looked up the price of hotels as well.",Bernice decided to get an airplane ticket and reserve a room.,1,2,43,11
de06c035-4c96-4ed0-89c2-3ce71e99e9d1,"Jim made spinach cookies. He sold them for five dollars each. No one bought any. However, at the last minute a man wanted twenty.",He was surprised but thankful.,1,1,24,5
de06c035-4c96-4ed0-89c2-3ce71e99e9d1,"Jim made spinach cookies. He sold them for five dollars each. No one bought any. However, at the last minute a man wanted twenty.",Jim thought he was crazy and left.,0,2,24,7
f547c9a1-be95-439d-922d-1417d7f6b818,Randy's friend gave him directions to his house. He was supposed to take a right after the white house. Randy continued to get lost. He backtracked continuously until he finally found it.,Randy told his friend how relieved he was he found it.,1,1,32,11
f547c9a1-be95-439d-922d-1417d7f6b818,Randy's friend gave him directions to his house. He was supposed to take a right after the white house. Randy continued to get lost. He backtracked continuously until he finally found it.,Randy saw the house but kept on driving and didn't come back.,0,2,32,12
195a43c7-d43e-48e4-845b-fd6c75609df2,"I decided to go on a bike ride with my brother. We both headed out in the morning. We were having a lot of fun. Suddenly, he hit a rock and broke his wheel!",Watching my brother crash was fun.,0,1,34,6
195a43c7-d43e-48e4-845b-fd6c75609df2,"I decided to go on a bike ride with my brother. We both headed out in the morning. We were having a lot of fun. Suddenly, he hit a rock and broke his wheel!",I felt very badly for my brother.,1,2,34,7
a11cf506-7d19-4ab9-b0ac-a0fd85a9bd38,"Anna went to the salon. She was getting her nails done for the first time. She was nervous, but the tech was friendly. He did her nails quickly and expertly.",Anna felt very fashionable when she left the salon.,1,1,30,9
a11cf506-7d19-4ab9-b0ac-a0fd85a9bd38,"Anna went to the salon. She was getting her nails done for the first time. She was nervous, but the tech was friendly. He did her nails quickly and expertly.",Anna really liked her new hairstyle.,0,2,30,6
b8c30925-f572-4ac3-b865-1cba592b6f0c,"David and Sarah were friends during childhood. When they went to college, each moved to a different town. Sarah received an unexpected call from David on Friday. They had dinner and talked about their lives.",Sarah was glad they were able to catch up.,1,1,35,9
b8c30925-f572-4ac3-b865-1cba592b6f0c,"David and Sarah were friends during childhood. When they went to college, each moved to a different town. Sarah received an unexpected call from David on Friday. They had dinner and talked about their lives.",Sarah and david went to go get dinner right after that.,0,2,35,11
0a5489f1-beea-4ad6-a6d5-380ba2abd184,AJ and his mom were at the grocery store. Aj was looking at a cereal box and when he looked up his mom was gone. He immediately started to feel panic. Then his mom stepped out from behind a display of soup.,AJ then began to feel sad.,0,1,42,6
0a5489f1-beea-4ad6-a6d5-380ba2abd184,AJ and his mom were at the grocery store. Aj was looking at a cereal box and when he looked up his mom was gone. He immediately started to feel panic. Then his mom stepped out from behind a display of soup.,AJ let out a sigh of relief.,1,2,42,7
fe3caede-4b19-410a-b08f-84d71b18e9f4,Joe went to the junkyard to find treasures. He dug through a stack of old clothes. At the bottom was a vintage shirt with a rock band on it. Joe put the shirt on to try it out.,Joe was happy the shirt fit.,1,1,38,6
fe3caede-4b19-410a-b08f-84d71b18e9f4,Joe went to the junkyard to find treasures. He dug through a stack of old clothes. At the bottom was a vintage shirt with a rock band on it. Joe put the shirt on to try it out.,Joe hated rock music afterwards.,0,2,38,5
e689960d-0515-424b-aac3-5d7160ac2577,Priya decided to try a new restaurant. She drove to a new cafe that opened. Priya sat at a booth. She ordered a mimosa and a breakfast burrito.,Priya thought her food was delicious.,1,1,28,6
e689960d-0515-424b-aac3-5d7160ac2577,Priya decided to try a new restaurant. She drove to a new cafe that opened. Priya sat at a booth. She ordered a mimosa and a breakfast burrito.,Priya decided not to eat and left.,0,2,28,7
57d5152a-77db-4156-8330-166edb36b0a2,"Karen was assigned a roommate her first year of college. One day, her roommate asked her to go to a nearby city for a concert. Karen agreed happily. The show was absolutely exhilarating.",Karen hated her roommate.,0,1,33,4
57d5152a-77db-4156-8330-166edb36b0a2,"Karen was assigned a roommate her first year of college. One day, her roommate asked her to go to a nearby city for a concert. Karen agreed happily. The show was absolutely exhilarating.",Karen became good friends with her roommate.,1,2,33,7
726a0fc9-8c6f-451e-838b-c48140817dfc,"We took a family vacation to the beach last year. I spent a lot of time reading with my mom on the beach. One day while reading, I got stung by a horrible beach wasp. My arm swelled and was painful, I almost had to go to the hospital.",Eventually I healed.,1,1,49,3
726a0fc9-8c6f-451e-838b-c48140817dfc,"We took a family vacation to the beach last year. I spent a lot of time reading with my mom on the beach. One day while reading, I got stung by a horrible beach wasp. My arm swelled and was painful, I almost had to go to the hospital.",I found I loved being swollen.,0,2,49,6
696b9d6a-40a4-434d-8a01-aec20c4400a3,Donald was kind of the class clown. He wanted to be class president. So he figured if he acted like an idiot people would vote for him. He would get up and just yell and be foolish.,Don hated elections.,0,1,37,3
696b9d6a-40a4-434d-8a01-aec20c4400a3,Donald was kind of the class clown. He wanted to be class president. So he figured if he acted like an idiot people would vote for him. He would get up and just yell and be foolish.,Donald hoped this foolishness won him the election.,1,2,37,8
16eeb330-b579-4a0f-a1e6-0b7aad454c54,"Eddie and Angela hadn't been talking to each other for a long time. They lived in their house together like strangers. Finally, they sat down and agreed, it was time for a divorce. Eddie went to the courthouse and filed the paperwork.",They were divorced a few months later.,1,1,42,7
16eeb330-b579-4a0f-a1e6-0b7aad454c54,"Eddie and Angela hadn't been talking to each other for a long time. They lived in their house together like strangers. Finally, they sat down and agreed, it was time for a divorce. Eddie went to the courthouse and filed the paperwork.",They fell back in love and stayed together forever.,0,2,42,9
ed614284-2364-4b9c-bc02-5e0aad3d8968,"Rachel adopted a cat over ten Years ago. Suddenly, the cat was acting more lethargic and losing weight. Concerned, Rachel took her cat to the vet. The vet told Rachel that her cat had developed cancer.",Rachel was excited to hear the news.,0,1,36,7
ed614284-2364-4b9c-bc02-5e0aad3d8968,"Rachel adopted a cat over ten Years ago. Suddenly, the cat was acting more lethargic and losing weight. Concerned, Rachel took her cat to the vet. The vet told Rachel that her cat had developed cancer.",The vet treated her cat's cancer the best they could.,1,2,36,10
87678fdf-ad4e-4ff0-93d0-039fa451b49b,Jim is a new driver and has never been pulled over before. Yesterday he was pulled over for speeding. The officer explained to him why he was being given a ticket. Jim will have to work overtime to pay for the ticket.,Jim is very upset.,1,1,42,4
87678fdf-ad4e-4ff0-93d0-039fa451b49b,Jim is a new driver and has never been pulled over before. Yesterday he was pulled over for speeding. The officer explained to him why he was being given a ticket. Jim will have to work overtime to pay for the ticket.,Jim was happy to see the officer.,0,2,42,7
33882739-51ca-446f-8bd0-2bbf7cfcba37,"I love avocados. I ate a sandwich covered in them. After I ate it, my mouth was itchy and tingly. I talked to my doctor about it later.","He said I was paranoid, and charged me $100.",0,1,28,9
33882739-51ca-446f-8bd0-2bbf7cfcba37,"I love avocados. I ate a sandwich covered in them. After I ate it, my mouth was itchy and tingly. I talked to my doctor about it later.",It turned out I was allergic to avocados.,1,2,28,8
3ef66340-b2fd-4c12-bc1c-b28730b571a1,David was an author that had trouble finding inspiration for his work. One day he had a dream of him being in a post apocalyptic world. He thought that this was destiny and began to write his thoughts. Eventually he had hundreds of pages written.,David then uploaded his new video.,0,1,45,6
3ef66340-b2fd-4c12-bc1c-b28730b571a1,David was an author that had trouble finding inspiration for his work. One day he had a dream of him being in a post apocalyptic world. He thought that this was destiny and began to write his thoughts. Eventually he had hundreds of pages written.,David then had his manuscript published.,1,2,45,6
26b26a0d-d7c5-4c50-bb94-bd236cd6b46f,Boris was addicted to video games. His mother was concerned. She called a psychologist to get help. The psychologist tried to convince Boris to stop his addiction.,Boris realized he was wasting his life.,1,1,27,7
26b26a0d-d7c5-4c50-bb94-bd236cd6b46f,Boris was addicted to video games. His mother was concerned. She called a psychologist to get help. The psychologist tried to convince Boris to stop his addiction.,Boris decided to wear the dress.,0,2,27,6
0c0d57aa-92eb-4bb3-8c65-6ce4d89e10a3,A police officer came down with the flu today. He was unable to go into work as he could barely get out of bed. His wife spent time taking care of him and making sure he was okay. He made sure to drink enough and eat enough.,The police officer had to give up his badge and gun.,0,1,47,11
0c0d57aa-92eb-4bb3-8c65-6ce4d89e10a3,A police officer came down with the flu today. He was unable to go into work as he could barely get out of bed. His wife spent time taking care of him and making sure he was okay. He made sure to drink enough and eat enough.,The police officer eventually got better.,1,2,47,6
1ad020f7-a18a-45f9-a112-b9ca83afcad2,My friend nathan and his family went to the lake one summer. One day Nathan's dad left and didn't leave a lighter for his mom. Well his mom was very upset and made him walk to the store barefoot. Poor Nathan had to walk down a gravel road to bring his mom matches.,"When Nathan returned, he felt very happy for the exercise.",0,1,53,10
1ad020f7-a18a-45f9-a112-b9ca83afcad2,My friend nathan and his family went to the lake one summer. One day Nathan's dad left and didn't leave a lighter for his mom. Well his mom was very upset and made him walk to the store barefoot. Poor Nathan had to walk down a gravel road to bring his mom matches.,"When Nathan returned, his mom apologized for being so mean.",1,2,53,10
31dd2600-d4c3-4f15-a336-cd0c32237d06,Gary was a brave child. One day he decided to climb over the fence in his backyard. His parents looked all over for him. They found him sitting on the swing at the park.,Gary's parents were relieved to find him.,1,1,34,7
31dd2600-d4c3-4f15-a336-cd0c32237d06,Gary was a brave child. One day he decided to climb over the fence in his backyard. His parents looked all over for him. They found him sitting on the swing at the park.,Gary's parents were disappointed to find him.,0,2,34,7
a9982ad1-a78e-4ab3-b9d5-4f3679d3e043,Timmy was caught with unpaid parking tickets. He didn't have enough money to pay for them. Instead he had to be arrested and jailed for two days. He lost his jobs for missing work.,Timmy was promoted for working so much all the time.,0,1,34,10
a9982ad1-a78e-4ab3-b9d5-4f3679d3e043,Timmy was caught with unpaid parking tickets. He didn't have enough money to pay for them. Instead he had to be arrested and jailed for two days. He lost his jobs for missing work.,"Timmy then had to find another job,",1,2,34,7
a62e9212-e75b-4078-ae68-f56a1164dc70,"When I was younger, I went to summer camp. We had a lot of fun playing games with the counselors. My favorite thing to do was play cards. The camp counselors knew so many different card games.",My time with the minister was very useful.,0,1,37,8
a62e9212-e75b-4078-ae68-f56a1164dc70,"When I was younger, I went to summer camp. We had a lot of fun playing games with the counselors. My favorite thing to do was play cards. The camp counselors knew so many different card games.",My favorite card game was poker.,1,2,37,6
67cf2fb0-431a-404d-9c9f-826dd2d3472b,Amber had a lot of things to do this Sunday. She made a list of all the places she needed to go. She hurried to get ready. She was worried that she would not have enough time.,Amber enjoyed a relaxing two hour brunch.,0,1,37,7
67cf2fb0-431a-404d-9c9f-826dd2d3472b,Amber had a lot of things to do this Sunday. She made a list of all the places she needed to go. She hurried to get ready. She was worried that she would not have enough time.,Amber was so hurried she left the list at home.,1,2,37,10
dba303f0-ede3-4834-aad4-767eadafa744,Eve needed a new couch in her parlor. But she could not afford to buy one! Then she went to a secondhand store and found a great one. She had it delivered and set up in her living room.,She bought a new couch to replace it.,0,1,39,8
dba303f0-ede3-4834-aad4-767eadafa744,Eve needed a new couch in her parlor. But she could not afford to buy one! Then she went to a secondhand store and found a great one. She had it delivered and set up in her living room.,Eve thought the couch was very comfortable.,1,2,39,7
7c183d9b-d1fd-414f-8c95-c17132422732,Jason was terrified of spiders. He went to a therapist and discussed his fear. His therapist said he should confront his fear to overcome it. Jason's homework was to look for a spider in his basement.,He found a very large spider there.,1,1,36,7
7c183d9b-d1fd-414f-8c95-c17132422732,Jason was terrified of spiders. He went to a therapist and discussed his fear. His therapist said he should confront his fear to overcome it. Jason's homework was to look for a spider in his basement.,Jason took a hot shower.,0,2,36,5
5b6f539e-eb73-4ca4-b359-a1f85e96effd,Linda began to have problems with a coworker at her job. The coworker had started bossing her around at work. The coworker even talked behind her back. Linda went to her boss with the issue and the boss mediated them.,Her boss fired her the next day.,0,1,40,7
