InputStoryid,premise,hypothesis,label,ending_id,text
2cb343e8-1946-44bc-9550-17bdf23d7edc,"John had worked hard on his homework but couldn't find it anywhere. Then he came upon some paper scraps on the floor. His dog, Betty, was sitting nearby with a paper scrap in her mouth. John was worried his teacher would think he was lying.",John turned his homework in the next day.,0,1,"John had worked hard on his homework but couldn't find it anywhere. Then he came upon some paper scraps on the floor. His dog, Betty, was sitting nearby with a paper scrap in her mouth. John was worried his teacher would think he was lying. [SEP] John turned his homework in the next day."
2cb343e8-1946-44bc-9550-17bdf23d7edc,"John had worked hard on his homework but couldn't find it anywhere. Then he came upon some paper scraps on the floor. His dog, Betty, was sitting nearby with a paper scrap in her mouth. John was worried his teacher would think he was lying.",John didn't know what to do.,1,2,"John had worked hard on his homework but couldn't find it anywhere. Then he came upon some paper scraps on the floor. His dog, Betty, was sitting nearby with a paper scrap in her mouth. John was worried his teacher would think he was lying. [SEP] John didn't know what to do."
19242426-8575-4299-9ab5-ea59e7b28062,"Dani was a nurse in the ICU. One night her estranged father was one of her patients. Dani didn't want to, but she treated her father. As he got better, the two of them were able to talk.",Dani was not surprised by the events that day.,0,1,"Dani was a nurse in the ICU. One night her estranged father was one of her patients. Dani didn't want to, but she treated her father. As he got better, the two of them were able to talk. [SEP] Dani was not surprised by the events that day."
19242426-8575-4299-9ab5-ea59e7b28062,"Dani was a nurse in the ICU. One night her estranged father was one of her patients. Dani didn't want to, but she treated her father. As he got better, the two of them were able to talk.",Dani got to know her father much better.,1,2,"Dani was a nurse in the ICU. One night her estranged father was one of her patients. Dani didn't want to, but she treated her father. As he got better, the two of them were able to talk. [SEP] Dani got to know her father much better."
e40b2aad-3873-4b37-9d90-a264abfc7e74,Aurelia was given an ice cream maker for her birthday. She had never thought of making nice cream before. She gathered the ingredients for her first vanilla ice cream. Aurelia was amazed with how delicious her homemade ice cream was.,She began brainstorming a new ice cream recipe.,1,1,Aurelia was given an ice cream maker for her birthday. She had never thought of making nice cream before. She gathered the ingredients for her first vanilla ice cream. Aurelia was amazed with how delicious her homemade ice cream was. [SEP] She began brainstorming a new ice cream recipe.
e40b2aad-3873-4b37-9d90-a264abfc7e74,Aurelia was given an ice cream maker for her birthday. She had never thought of making nice cream before. She gathered the ingredients for her first vanilla ice cream. Aurelia was amazed with how delicious her homemade ice cream was.,She threw her ice cream in the garbage.,0,2,Aurelia was given an ice cream maker for her birthday. She had never thought of making nice cream before. She gathered the ingredients for her first vanilla ice cream. Aurelia was amazed with how delicious her homemade ice cream was. [SEP] She threw her ice cream in the garbage.
702267f4-b51a-4366-bbe4-fe3d5f94077d,Sam moved to Los Angeles to become a movie star. He did not have much money but he thought that going is the only way. After two months sam was sleeping in his car and broke. He went to the chinese theater to beg one day.,Sam felt quite hopeful.,0,1,Sam moved to Los Angeles to become a movie star. He did not have much money but he thought that going is the only way. After two months sam was sleeping in his car and broke. He went to the chinese theater to beg one day. [SEP] Sam felt quite hopeful.
702267f4-b51a-4366-bbe4-fe3d5f94077d,Sam moved to Los Angeles to become a movie star. He did not have much money but he thought that going is the only way. After two months sam was sleeping in his car and broke. He went to the chinese theater to beg one day.,Sam felt very depressed.,1,2,Sam moved to Los Angeles to become a movie star. He did not have much money but he thought that going is the only way. After two months sam was sleeping in his car and broke. He went to the chinese theater to beg one day. [SEP] Sam felt very depressed.
23f75488-ac93-4c34-8914-a7727508f8ef,Joe was really hungry. There was nothing in his fridge to eat. He couldn't find his phone to order carry-out. Joe ordered a pizza online.,Joe paid for the delivery of some Chinese food.,0,1,Joe was really hungry. There was nothing in his fridge to eat. He couldn't find his phone to order carry-out. Joe ordered a pizza online. [SEP] Joe paid for the delivery of some Chinese food.
23f75488-ac93-4c34-8914-a7727508f8ef,Joe was really hungry. There was nothing in his fridge to eat. He couldn't find his phone to order carry-out. Joe ordered a pizza online.,Joe started eating the pizza before the delivery man left.,1,2,Joe was really hungry. There was nothing in his fridge to eat. He couldn't find his phone to order carry-out. Joe ordered a pizza online. [SEP] Joe started eating the pizza before the delivery man left.
f1e433e3-6cbe-4d7d-afee-3a39dc9d28ad,Ricky fell while hiking in the woods. He was terrified! He thought he had fallen into a patch of poison ivy. Then he used his nature guide to identify the plant.,He was relieved to find out he was wrong.,1,1,Ricky fell while hiking in the woods. He was terrified! He thought he had fallen into a patch of poison ivy. Then he used his nature guide to identify the plant. [SEP] He was relieved to find out he was wrong.
f1e433e3-6cbe-4d7d-afee-3a39dc9d28ad,Ricky fell while hiking in the woods. He was terrified! He thought he had fallen into a patch of poison ivy. Then he used his nature guide to identify the plant.,Ricky was soaking wet from falling in the pond.,0,2,Ricky fell while hiking in the woods. He was terrified! He thought he had fallen into a patch of poison ivy. Then he used his nature guide to identify the plant. [SEP] Ricky was soaking wet from falling in the pond.
048f5a77-7c17-4071-8b0b-b8e43087132d,"Neil was visiting Limerick in Ireland. There, he saw a beautiful sight. He saw the large and lovely River Shannon! After a few minutes, he agreed with the locals.",The River Shannon was beautiful.,1,1,"Neil was visiting Limerick in Ireland. There, he saw a beautiful sight. He saw the large and lovely River Shannon! After a few minutes, he agreed with the locals. [SEP] The River Shannon was beautiful."
048f5a77-7c17-4071-8b0b-b8e43087132d,"Neil was visiting Limerick in Ireland. There, he saw a beautiful sight. He saw the large and lovely River Shannon! After a few minutes, he agreed with the locals.",That Neil was very stupid.,0,2,"Neil was visiting Limerick in Ireland. There, he saw a beautiful sight. He saw the large and lovely River Shannon! After a few minutes, he agreed with the locals. [SEP] That Neil was very stupid."
cd0399d2-96c1-4a2c-a0e4-2361312a0bf8,"Tom wanted a Chemistry set for Christmas. His mom said it was too dangerous for a little boy. Tom asked for a puppy instead, and his mom suddenly changed her mind. Tom didn't understand why, but he didn't care.",He was happy to get the Chemistry set.,1,1,"Tom wanted a Chemistry set for Christmas. His mom said it was too dangerous for a little boy. Tom asked for a puppy instead, and his mom suddenly changed her mind. Tom didn't understand why, but he didn't care. [SEP] He was happy to get the Chemistry set."
cd0399d2-96c1-4a2c-a0e4-2361312a0bf8,"Tom wanted a Chemistry set for Christmas. His mom said it was too dangerous for a little boy. Tom asked for a puppy instead, and his mom suddenly changed her mind. Tom didn't understand why, but he didn't care.",He was disappointed to receive the Chemistry set.,0,2,"Tom wanted a Chemistry set for Christmas. His mom said it was too dangerous for a little boy. Tom asked for a puppy instead, and his mom suddenly changed her mind. Tom didn't understand why, but he didn't care. [SEP] He was disappointed to receive the Chemistry set."
df8c7222-a0e5-4723-ae50-e2e77e5d2410,"Sammy had a terrible stomach ache one morning. But she forced herself to go to school. As she approached the bus, she thought of turning back. But she felt it was too late to change her mind.",She sat on the curb and watched the bus drive past her.,0,1,"Sammy had a terrible stomach ache one morning. But she forced herself to go to school. As she approached the bus, she thought of turning back. But she felt it was too late to change her mind. [SEP] She sat on the curb and watched the bus drive past her."
df8c7222-a0e5-4723-ae50-e2e77e5d2410,"Sammy had a terrible stomach ache one morning. But she forced herself to go to school. As she approached the bus, she thought of turning back. But she felt it was too late to change her mind.",She went to school and suffered through the pain.,1,2,"Sammy had a terrible stomach ache one morning. But she forced herself to go to school. As she approached the bus, she thought of turning back. But she felt it was too late to change her mind. [SEP] She went to school and suffered through the pain."
7fb56f8e-afb9-4510-9abf-4be01e8a66f5,I bought a phone case with a lanyard. I needed one for my cell phone. The case arrived without a lanyard. The website said the case had a bracket but not a lanyard.,I returned my phone.,0,1,I bought a phone case with a lanyard. I needed one for my cell phone. The case arrived without a lanyard. The website said the case had a bracket but not a lanyard. [SEP] I returned my phone.
7fb56f8e-afb9-4510-9abf-4be01e8a66f5,I bought a phone case with a lanyard. I needed one for my cell phone. The case arrived without a lanyard. The website said the case had a bracket but not a lanyard.,I felt foolish.,1,2,I bought a phone case with a lanyard. I needed one for my cell phone. The case arrived without a lanyard. The website said the case had a bracket but not a lanyard. [SEP] I felt foolish.
78b13b6b-f8da-46f8-8eb7-a4c875bae08b,Rover liked playing fetch with his owner. One day his owner threw the ball too hard. It bounced across the street. Rover weaved through traffic with amazing skill.,He fetched the ball and brought it back to his owner.,1,1,Rover liked playing fetch with his owner. One day his owner threw the ball too hard. It bounced across the street. Rover weaved through traffic with amazing skill. [SEP] He fetched the ball and brought it back to his owner.
78b13b6b-f8da-46f8-8eb7-a4c875bae08b,Rover liked playing fetch with his owner. One day his owner threw the ball too hard. It bounced across the street. Rover weaved through traffic with amazing skill.,He then ran away with the small ball.,0,2,Rover liked playing fetch with his owner. One day his owner threw the ball too hard. It bounced across the street. Rover weaved through traffic with amazing skill. [SEP] He then ran away with the small ball.
74c29734-503c-4412-8716-bdeac83ee64a,Ann and Tori had been friends for over 20 years. They often shopped together. Tori received a call from the bank regarding charges on her ATM card. She called Anne and  told her that someone had been using her card.,Ann and Tori continued to shop.,0,1,Ann and Tori had been friends for over 20 years. They often shopped together. Tori received a call from the bank regarding charges on her ATM card. She called Anne and  told her that someone had been using her card. [SEP] Ann and Tori continued to shop.
74c29734-503c-4412-8716-bdeac83ee64a,Ann and Tori had been friends for over 20 years. They often shopped together. Tori received a call from the bank regarding charges on her ATM card. She called Anne and  told her that someone had been using her card.,Ann and Tori decided to stop shopping and work out the issue.,1,2,Ann and Tori had been friends for over 20 years. They often shopped together. Tori received a call from the bank regarding charges on her ATM card. She called Anne and  told her that someone had been using her card. [SEP] Ann and Tori decided to stop shopping and work out the issue.
1a6f72b0-88e5-47b8-92d9-141200921477,"A girl falls in love with a boy and he liked her too. She finds out that their parents don't get along. The boy and the girl love each other so much. But, they don't want to hurt their parents feelings so they stay away",But eventually they get together anyway.,1,1,"A girl falls in love with a boy and he liked her too. She finds out that their parents don't get along. The boy and the girl love each other so much. But, they don't want to hurt their parents feelings so they stay away [SEP] But eventually they get together anyway."
1a6f72b0-88e5-47b8-92d9-141200921477,"A girl falls in love with a boy and he liked her too. She finds out that their parents don't get along. The boy and the girl love each other so much. But, they don't want to hurt their parents feelings so they stay away",The boy and girl's parents are very happy they love each other.,0,2,"A girl falls in love with a boy and he liked her too. She finds out that their parents don't get along. The boy and the girl love each other so much. But, they don't want to hurt their parents feelings so they stay away [SEP] The boy and girl's parents are very happy they love each other."
87ed8e67-02f7-46dc-b0e3-82319328557a,Gregory took a pottery class at a nearby night school. He was terrible at sculpture. He grew to like throwing pots on pottery wheels very much. Eventually he was making pots half as tall as he was.,He broke all of the pots he made.,0,1,Gregory took a pottery class at a nearby night school. He was terrible at sculpture. He grew to like throwing pots on pottery wheels very much. Eventually he was making pots half as tall as he was. [SEP] He broke all of the pots he made.
87ed8e67-02f7-46dc-b0e3-82319328557a,Gregory took a pottery class at a nearby night school. He was terrible at sculpture. He grew to like throwing pots on pottery wheels very much. Eventually he was making pots half as tall as he was.,He was very proud of his pots.,1,2,Gregory took a pottery class at a nearby night school. He was terrible at sculpture. He grew to like throwing pots on pottery wheels very much. Eventually he was making pots half as tall as he was. [SEP] He was very proud of his pots.
fd5da531-ff8c-4eab-99d6-6c1e94b1035c,Chad wanted to bowl a perfect game. Last Saturday he came close. He had all strikes and only needed two more. He missed his second to last one.,"He did not miss the last one, but was still disappointed.",1,1,"Chad wanted to bowl a perfect game. Last Saturday he came close. He had all strikes and only needed two more. He missed his second to last one. [SEP] He did not miss the last one, but was still disappointed."
fd5da531-ff8c-4eab-99d6-6c1e94b1035c,Chad wanted to bowl a perfect game. Last Saturday he came close. He had all strikes and only needed two more. He missed his second to last one.,Chad scored a touchdown after asking his coach for advice.,0,2,Chad wanted to bowl a perfect game. Last Saturday he came close. He had all strikes and only needed two more. He missed his second to last one. [SEP] Chad scored a touchdown after asking his coach for advice.
86991c22-02d9-4144-80e7-8531a7a5ccf4,Mike used to play racketball with Perry. They would reserve a court a couple times a week. But one time Mike hit Perry by accident in the back of the head. Perry was not very happy about that.,Mike had to apologize.,1,1,Mike used to play racketball with Perry. They would reserve a court a couple times a week. But one time Mike hit Perry by accident in the back of the head. Perry was not very happy about that. [SEP] Mike had to apologize.
86991c22-02d9-4144-80e7-8531a7a5ccf4,Mike used to play racketball with Perry. They would reserve a court a couple times a week. But one time Mike hit Perry by accident in the back of the head. Perry was not very happy about that.,Mike and Perry got married.,0,2,Mike used to play racketball with Perry. They would reserve a court a couple times a week. But one time Mike hit Perry by accident in the back of the head. Perry was not very happy about that. [SEP] Mike and Perry got married.
7d9b0578-4621-460a-9d67-9705079b0a1c,Gina and her family were leaving the park. They had been there all afternoon. Now they were going to her aunt's house. Gina begged to be dropped off at her grandma's,Gina hated her grandma.,0,1,Gina and her family were leaving the park. They had been there all afternoon. Now they were going to her aunt's house. Gina begged to be dropped off at her grandma's [SEP] Gina hated her grandma.
7d9b0578-4621-460a-9d67-9705079b0a1c,Gina and her family were leaving the park. They had been there all afternoon. Now they were going to her aunt's house. Gina begged to be dropped off at her grandma's,Gina loved her grandma.,1,2,Gina and her family were leaving the park. They had been there all afternoon. Now they were going to her aunt's house. Gina begged to be dropped off at her grandma's [SEP] Gina loved her grandma.
4351716e-f1ea-4e28-ad5f-45e5d07480a1,"Bob was warm and tender towards his wife. He wanted to get her a very special gift for Valentine's Day. He asked all the people he knew what he should get her. They all had different opinions, leaving Bob confused.",Bob was never the same after being tasered by the mall cops.,0,1,"Bob was warm and tender towards his wife. He wanted to get her a very special gift for Valentine's Day. He asked all the people he knew what he should get her. They all had different opinions, leaving Bob confused. [SEP] Bob was never the same after being tasered by the mall cops."
4351716e-f1ea-4e28-ad5f-45e5d07480a1,"Bob was warm and tender towards his wife. He wanted to get her a very special gift for Valentine's Day. He asked all the people he knew what he should get her. They all had different opinions, leaving Bob confused.",Bob finally went with his instincts and picked the perfect gift.,1,2,"Bob was warm and tender towards his wife. He wanted to get her a very special gift for Valentine's Day. He asked all the people he knew what he should get her. They all had different opinions, leaving Bob confused. [SEP] Bob finally went with his instincts and picked the perfect gift."
aa86fc61-5be9-4ef6-9c9b-24003fdaaa33,"Mike was sitting at his desk. But suddenly, he felt a strange itching sensation on his arm. He felt his legs become itchy too. And then his face.",Mike had a stroke.,1,1,"Mike was sitting at his desk. But suddenly, he felt a strange itching sensation on his arm. He felt his legs become itchy too. And then his face. [SEP] Mike had a stroke."
aa86fc61-5be9-4ef6-9c9b-24003fdaaa33,"Mike was sitting at his desk. But suddenly, he felt a strange itching sensation on his arm. He felt his legs become itchy too. And then his face.",Mike started laughing hysterically.,0,2,"Mike was sitting at his desk. But suddenly, he felt a strange itching sensation on his arm. He felt his legs become itchy too. And then his face. [SEP] Mike started laughing hysterically."
91f9d1d9-934c-44f9-9677-3614def2874b,"Sandy lived in New York. Sandy heard of a dangerous snow storm coming her way. Sandy decided to ensure that her home was prepared. During the snowstorm, the power went out.",Sandy decided to go outside and make a snowman.,0,1,"Sandy lived in New York. Sandy heard of a dangerous snow storm coming her way. Sandy decided to ensure that her home was prepared. During the snowstorm, the power went out. [SEP] Sandy decided to go outside and make a snowman."
91f9d1d9-934c-44f9-9677-3614def2874b,"Sandy lived in New York. Sandy heard of a dangerous snow storm coming her way. Sandy decided to ensure that her home was prepared. During the snowstorm, the power went out.",Sandy was prepared.,1,2,"Sandy lived in New York. Sandy heard of a dangerous snow storm coming her way. Sandy decided to ensure that her home was prepared. During the snowstorm, the power went out. [SEP] Sandy was prepared."
1a2bead1-a985-44e6-966c-44c4a77afe37,"After  gathering all of the items for our party, I invited our friends. Most of the were excited to come over for food! It took about an hour but they all arrived on time. After the arrived we began eating and enjoying ourselves.",I couldn't wait for my friends to leave.,0,1,"After  gathering all of the items for our party, I invited our friends. Most of the were excited to come over for food! It took about an hour but they all arrived on time. After the arrived we began eating and enjoying ourselves. [SEP] I couldn't wait for my friends to leave."
1a2bead1-a985-44e6-966c-44c4a77afe37,"After  gathering all of the items for our party, I invited our friends. Most of the were excited to come over for food! It took about an hour but they all arrived on time. After the arrived we began eating and enjoying ourselves.",I loved throwing parties.,1,2,"After  gathering all of the items for our party, I invited our friends. Most of the were excited to come over for food! It took about an hour but they all arrived on time. After the arrived we began eating and enjoying ourselves. [SEP] I loved throwing parties."
34505e75-67d3-47df-b140-429c87accabb,I started a diet yesterday. I ate healthy food the entire day! Today I saw pizza in the fridge. My willpower broke and I ate all 5 pieces.,I felt ashamed.,1,1,I started a diet yesterday. I ate healthy food the entire day! Today I saw pizza in the fridge. My willpower broke and I ate all 5 pieces. [SEP] I felt ashamed.
34505e75-67d3-47df-b140-429c87accabb,I started a diet yesterday. I ate healthy food the entire day! Today I saw pizza in the fridge. My willpower broke and I ate all 5 pieces.,I was proud of my willpower.,0,2,I started a diet yesterday. I ate healthy food the entire day! Today I saw pizza in the fridge. My willpower broke and I ate all 5 pieces. [SEP] I was proud of my willpower.
6e39e409-bb18-482b-a8f2-54cec56943b4,Gina was in the lunch room at her new school. She only knew 2 people in the whole school. Neither of them was in this lunch room. She got her food and went outside.,Gina had a great day.,0,1,Gina was in the lunch room at her new school. She only knew 2 people in the whole school. Neither of them was in this lunch room. She got her food and went outside. [SEP] Gina had a great day.
6e39e409-bb18-482b-a8f2-54cec56943b4,Gina was in the lunch room at her new school. She only knew 2 people in the whole school. Neither of them was in this lunch room. She got her food and went outside.,Gina felt very lonely.,1,2,Gina was in the lunch room at her new school. She only knew 2 people in the whole school. Neither of them was in this lunch room. She got her food and went outside. [SEP] Gina felt very lonely.
37120c4b-0f9d-4467-ac5c-ef999e72ee70,"Hannah was feeling very stiff and inflexible. She decided to enroll in Yoga class to improve her flexibility. She was terrible at Yoga and for months she did not improve. But, she decided to stick with it and keep trying.",Hannah became stiffer over time.,0,1,"Hannah was feeling very stiff and inflexible. She decided to enroll in Yoga class to improve her flexibility. She was terrible at Yoga and for months she did not improve. But, she decided to stick with it and keep trying. [SEP] Hannah became stiffer over time."
